open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1615852800000,0.00405200,0.00406400,0.00403900,0.00405600,46295.00000000,1615853099999,187.44558900,119,18389.00000000,74.53026900,0
1615853100000,0.00405200,0.00406000,0.00404300,0.00406000,21755.00000000,1615853399999,88.04678200,43,11622.00000000,47.04926100,0
1615853400000,0.00406000,0.00406500,0.00405200,0.00406500,4940.00000000,1615853699999,20.03686900,30,1553.00000000,6.30561100,0
1615853700000,0.00406400,0.00406600,0.00405500,0.00405800,14513.00000000,1615853999999,58.94444100,44,5898.00000000,23.96274600,0
1615854000000,0.00405800,0.00406400,0.00405000,0.00406000,39341.00000000,1615854299999,159.63283300,58,30444.00000000,123.57014400,0
1615854300000,0.00405900,0.00406200,0.00405000,0.00405500,6322.00000000,1615854599999,25.64882800,39,2710.00000000,11.00157600,0
1615854600000,0.00405400,0.00406300,0.00405000,0.00405700,7409.00000000,1615854899999,30.04674700,59,4307.00000000,17.46987000,0
1615854900000,0.00406200,0.00406600,0.00405500,0.00405500,8872.00000000,1615855199999,36.04114500,23,5689.00000000,23.11158300,0
1615855200000,0.00405900,0.00406200,0.00405200,0.00405200,3584.00000000,1615855499999,14.53259300,24,2107.00000000,8.54520900,0
1615855500000,0.00405200,0.00406000,0.00404500,0.00405400,14205.00000000,1615855799999,57.51253700,45,6490.00000000,26.26771200,0
1615855800000,0.00404900,0.00409700,0.00404900,0.00407500,66392.00000000,1615856099999,270.96407500,179,30294.00000000,123.54181800,0
1615856100000,0.00407300,0.00409000,0.00407100,0.00409000,19936.00000000,1615856399999,81.42294500,45,17966.00000000,73.38726200,0
1615856400000,0.00409100,0.00416600,0.00409100,0.00415100,274736.00000000,1615856699999,1134.24407600,692,146661.00000000,605.00052200,0
1615856700000,0.00415200,0.00415700,0.00413100,0.00414100,49207.00000000,1615856999999,204.01765900,157,28149.00000000,116.72594900,0
1615857000000,0.00413500,0.00415100,0.00412800,0.00414800,25185.00000000,1615857299999,104.15815300,62,16976.00000000,70.21705300,0
1615857300000,0.00415000,0.00415500,0.00413200,0.00414100,25135.00000000,1615857599999,104.05530800,69,9881.00000000,40.87760200,0
1615857600000,0.00414300,0.00415400,0.00413900,0.00415000,19858.00000000,1615857899999,82.39511700,46,17515.00000000,72.68235900,0
1615857900000,0.00414600,0.00414600,0.00413600,0.00414600,25064.00000000,1615858199999,103.76234800,57,22366.00000000,92.58926500,0
1615858200000,0.00414200,0.00416100,0.00413500,0.00416100,14830.00000000,1615858499999,61.57469200,60,12347.00000000,51.27606100,0
1615858500000,0.00416200,0.00416400,0.00415600,0.00415800,5804.00000000,1615858799999,24.14561200,28,2577.00000000,10.72680600,0
1615858800000,0.00415800,0.00416500,0.00415400,0.00416300,30033.00000000,1615859099999,124.90885900,46,26614.00000000,110.69728500,0
1615859100000,0.00416100,0.00416800,0.00414900,0.00416400,41748.00000000,1615859399999,173.60895300,103,7209.00000000,30.01953600,0
1615859400000,0.00416400,0.00418100,0.00416400,0.00417700,21159.00000000,1615859699999,88.32350700,98,15001.00000000,62.61856000,0
1615859700000,0.00417400,0.00418000,0.00416600,0.00417500,18470.00000000,1615859999999,77.04194000,48,1588.00000000,6.63137700,0
1615860000000,0.00417500,0.00417500,0.00416000,0.00417200,17261.00000000,1615860299999,71.90135300,45,2785.00000000,11.61092500,0
1615860300000,0.00417100,0.00418000,0.00416600,0.00417500,17005.00000000,1615860599999,71.00199500,44,12887.00000000,53.81676400,0
1615860600000,0.00417300,0.00417700,0.00416400,0.00417600,6964.00000000,1615860899999,29.04000400,41,429.00000000,1.79014500,0
1615860900000,0.00417400,0.00418300,0.00416500,0.00418000,22377.00000000,1615861199999,93.37573400,70,6436.00000000,26.88343700,0
1615861200000,0.00417700,0.00417700,0.00416200,0.00416700,4863.00000000,1615861499999,20.26309100,30,3191.00000000,13.30033200,0
1615861500000,0.00416300,0.00418000,0.00416300,0.00417800,4067.00000000,1615861799999,16.98110800,24,2134.00000000,8.90939000,0
1615861800000,0.00417600,0.00417600,0.00416200,0.00417200,3073.00000000,1615862099999,12.81293300,32,2320.00000000,9.67675500,0
1615862100000,0.00416300,0.00416300,0.00414000,0.00415100,53154.00000000,1615862399999,220.71968900,129,22780.00000000,94.55238000,0
1615862400000,0.00414800,0.00415500,0.00414500,0.00414900,10806.00000000,1615862699999,44.83450500,35,5831.00000000,24.19465800,0
1615862700000,0.00414800,0.00415100,0.00414000,0.00414000,13118.00000000,1615862999999,54.41247500,50,7483.00000000,31.04475900,0
1615863000000,0.00414000,0.00414500,0.00413800,0.00413800,10815.00000000,1615863299999,44.77515500,34,297.00000000,1.23052900,0
1615863300000,0.00414000,0.00414200,0.00413500,0.00413800,10328.00000000,1615863599999,42.75997300,21,8131.00000000,33.67043500,0
1615863600000,0.00413600,0.00414700,0.00413300,0.00413700,6321.00000000,1615863899999,26.18695000,39,3447.00000000,14.29013400,0
1615863900000,0.00413400,0.00414400,0.00413400,0.00414400,92014.00000000,1615864199999,381.30422300,63,91830.00000000,380.54311400,0
1615864200000,0.00414600,0.00414900,0.00413400,0.00414900,15274.00000000,1615864499999,63.21772400,46,4451.00000000,18.45765300,0
1615864500000,0.00414600,0.00415000,0.00413800,0.00414600,13880.00000000,1615864799999,57.55019000,26,6145.00000000,25.48470200,0
1615864800000,0.00414800,0.00414800,0.00413200,0.00413700,3131.00000000,1615865099999,12.95692700,28,1208.00000000,5.00111400,0
1615865100000,0.00414100,0.00414800,0.00413800,0.00414200,4930.00000000,1615865399999,20.42021900,18,3272.00000000,13.55300000,0
1615865400000,0.00413800,0.00414400,0.00413300,0.00414000,6919.00000000,1615865699999,28.62024200,30,3187.00000000,13.19211400,0
1615865700000,0.00414100,0.00414500,0.00413300,0.00414200,17681.00000000,1615865999999,73.16493000,44,8734.00000000,36.16703000,0
1615866000000,0.00414000,0.00415600,0.00413400,0.00414700,31430.00000000,1615866299999,130.31582800,68,29242.00000000,121.25483200,0
1615866300000,0.00414600,0.00415500,0.00414600,0.00415200,19464.00000000,1615866599999,80.85560700,44,18844.00000000,78.28344000,0
1615866600000,0.00414700,0.00415900,0.00414700,0.00415600,12446.00000000,1615866899999,51.70498700,28,11872.00000000,49.32175700,0
1615866900000,0.00415600,0.00415600,0.00414500,0.00414700,12354.00000000,1615867199999,51.27376400,25,2781.00000000,11.54433500,0
1615867200000,0.00414900,0.00416500,0.00414700,0.00415800,29602.00000000,1615867499999,122.92779300,70,23409.00000000,97.19050700,0
1615867500000,0.00415900,0.00417300,0.00415900,0.00417300,14497.00000000,1615867799999,60.42065600,48,8091.00000000,33.72822600,0
1615867800000,0.00417300,0.00417500,0.00416700,0.00416700,10834.00000000,1615868099999,45.18081300,36,4082.00000000,17.03317400,0
1615868100000,0.00416700,0.00418000,0.00416500,0.00417900,2264.00000000,1615868399999,9.45186200,35,1147.00000000,4.79030900,0
1615868400000,0.00417900,0.00419200,0.00417700,0.00418900,19310.00000000,1615868699999,80.83191300,110,17791.00000000,74.48153900,0
1615868700000,0.00418900,0.00419100,0.00416300,0.00416700,15266.00000000,1615868999999,63.75071200,51,477.00000000,1.99623000,0
1615869000000,0.00416700,0.00418300,0.00416700,0.00417100,21475.00000000,1615869299999,89.57741500,50,17112.00000000,71.37351200,0
1615869300000,0.00417700,0.00417700,0.00416400,0.00416400,7225.00000000,1615869599999,30.11690000,30,780.00000000,3.25125300,0
1615869600000,0.00416400,0.00416700,0.00416000,0.00416700,6604.00000000,1615869899999,27.48846500,29,2980.00000000,12.40300900,0
1615869900000,0.00416900,0.00418000,0.00416900,0.00417200,5504.00000000,1615870199999,22.98527700,33,4452.00000000,18.59519300,0
1615870200000,0.00417500,0.00417700,0.00416700,0.00417200,2537.00000000,1615870499999,10.58237800,27,1711.00000000,7.13914100,0
1615870500000,0.00416900,0.00417300,0.00416000,0.00416200,3017.00000000,1615870799999,12.57151200,35,414.00000000,1.72677800,0
1615870800000,0.00416600,0.00416700,0.00415300,0.00415700,9898.00000000,1615871099999,41.17753500,39,9045.00000000,37.63279500,0
1615871100000,0.00415700,0.00416500,0.00415500,0.00415800,8689.00000000,1615871399999,36.15656400,29,6099.00000000,25.38918600,0
1615871400000,0.00416200,0.00417100,0.00415300,0.00415800,32173.00000000,1615871699999,133.93362900,63,16223.00000000,67.57980900,0
1615871700000,0.00416100,0.00416900,0.00415900,0.00416600,2238.00000000,1615871999999,9.31789300,29,906.00000000,3.77349300,0
1615872000000,0.00416100,0.00417400,0.00415900,0.00417400,13887.00000000,1615872299999,57.87568400,29,10248.00000000,42.73367600,0
1615872300000,0.00416800,0.00417100,0.00416100,0.00416200,8940.00000000,1615872599999,37.23421800,32,3527.00000000,14.70084000,0
1615872600000,0.00416600,0.00417000,0.00415800,0.00416200,66598.00000000,1615872899999,277.62995500,69,4820.00000000,20.08486300,0
1615872900000,0.00415700,0.00418300,0.00415400,0.00417900,30941.00000000,1615873199999,128.97283100,77,21988.00000000,91.68955700,0
1615873200000,0.00416900,0.00417600,0.00416300,0.00417200,21969.00000000,1615873499999,91.58773700,68,9520.00000000,39.71742400,0
1615873500000,0.00416800,0.00417000,0.00415100,0.00415200,14823.00000000,1615873799999,61.63016600,46,2055.00000000,8.54565900,0
1615873800000,0.00415700,0.00415800,0.00412200,0.00414700,79836.00000000,1615874099999,330.34211000,179,15276.00000000,63.39776700,0
1615874100000,0.00414900,0.00415200,0.00414200,0.00414900,5720.00000000,1615874399999,23.72924300,33,4655.00000000,19.31630100,0
1615874400000,0.00414800,0.00415600,0.00414300,0.00415100,40152.00000000,1615874699999,166.64131500,74,8883.00000000,36.88022200,0
1615874700000,0.00415400,0.00415400,0.00414500,0.00415000,22715.00000000,1615874999999,94.27945300,38,2071.00000000,8.60214900,0
1615875000000,0.00415200,0.00415900,0.00414600,0.00415400,23147.00000000,1615875299999,96.18099100,53,3718.00000000,15.43802600,0
1615875300000,0.00415500,0.00415800,0.00414500,0.00415000,9213.00000000,1615875599999,38.24638900,41,4358.00000000,18.09150600,0
1615875600000,0.00415000,0.00418100,0.00414900,0.00417700,48571.00000000,1615875899999,202.08034800,130,24541.00000000,102.15346800,0
1615875900000,0.00417800,0.00417800,0.00416100,0.00416300,9946.00000000,1615876199999,41.47891300,73,4796.00000000,20.00980100,0
1615876200000,0.00416300,0.00417600,0.00415200,0.00417600,36023.00000000,1615876499999,149.94035600,96,20281.00000000,84.44973400,0
1615876500000,0.00417600,0.00421800,0.00416800,0.00421800,90563.00000000,1615876799999,379.92582500,297,68724.00000000,288.38898500,0
1615876800000,0.00421900,0.00425700,0.00421800,0.00424100,258416.00000000,1615877099999,1094.58508600,501,154183.00000000,652.74254800,0
1615877100000,0.00424600,0.00425300,0.00421000,0.00421800,48591.00000000,1615877399999,205.30798300,214,24299.00000000,102.74003900,0
1615877400000,0.00422300,0.00422300,0.00418100,0.00418800,167577.00000000,1615877699999,703.95215700,399,87944.00000000,369.71310600,0
1615877700000,0.00418700,0.00419700,0.00417000,0.00418000,37050.00000000,1615877999999,154.86259900,133,14251.00000000,59.61559800,0
1615878000000,0.00417600,0.00417600,0.00414000,0.00414800,101449.00000000,1615878299999,421.68004300,312,41277.00000000,171.69031900,0
1615878300000,0.00414000,0.00415200,0.00412700,0.00414100,44250.00000000,1615878599999,183.10475300,152,26254.00000000,108.71099700,0
1615878600000,0.00414000,0.00414400,0.00413500,0.00414400,33060.00000000,1615878899999,136.85245900,72,18666.00000000,77.29495700,0
1615878900000,0.00414000,0.00416400,0.00414000,0.00415800,42001.00000000,1615879199999,174.41534900,97,6354.00000000,26.40037600,0
1615879200000,0.00415700,0.00416000,0.00414400,0.00414900,15614.00000000,1615879499999,64.78105000,52,8877.00000000,36.83124600,0
1615879500000,0.00415400,0.00416400,0.00414300,0.00414300,16949.00000000,1615879799999,70.47669200,81,10245.00000000,42.62869300,0
1615879800000,0.00414500,0.00415800,0.00411600,0.00415000,71528.00000000,1615880099999,296.04408100,218,10897.00000000,45.25150900,0
1615880100000,0.00414600,0.00415700,0.00414300,0.00414800,18611.00000000,1615880399999,77.23343800,55,7991.00000000,33.18818200,0
1615880400000,0.00415300,0.00416000,0.00414600,0.00416000,24697.00000000,1615880699999,102.60855800,95,16912.00000000,70.27493700,0
1615880700000,0.00415600,0.00415900,0.00413700,0.00414000,9933.00000000,1615880999999,41.22468100,53,4939.00000000,20.51445600,0
1615881000000,0.00413700,0.00414300,0.00413500,0.00413800,24894.00000000,1615881299999,103.02371000,48,15744.00000000,65.17736500,0
1615881300000,0.00413600,0.00414200,0.00411800,0.00411900,29927.00000000,1615881599999,123.52760400,111,17054.00000000,70.43348800,0
1615881600000,0.00412400,0.00412500,0.00411200,0.00411900,18486.00000000,1615881899999,76.12617700,100,15354.00000000,63.23713000,0
1615881900000,0.00412000,0.00412000,0.00409400,0.00409500,23056.00000000,1615882199999,94.62708900,164,12432.00000000,51.06396400,0
1615882200000,0.00409300,0.00411100,0.00409300,0.00410200,14748.00000000,1615882499999,60.47969300,68,11272.00000000,46.23298000,0
1615882500000,0.00410200,0.00411600,0.00409400,0.00410100,17757.00000000,1615882799999,72.89747400,89,9646.00000000,39.62702500,0
1615882800000,0.00410600,0.00412500,0.00410100,0.00411900,75161.00000000,1615883099999,308.71412800,119,53999.00000000,221.73736200,0
1615883100000,0.00411700,0.00413000,0.00411600,0.00412500,21355.00000000,1615883399999,88.08594000,78,15277.00000000,63.04585300,0
1615883400000,0.00412500,0.00412500,0.00410600,0.00411000,11033.00000000,1615883699999,45.38256700,64,2712.00000000,11.15760300,0
1615883700000,0.00410900,0.00411900,0.00410100,0.00410900,22089.00000000,1615883999999,90.73138000,65,8529.00000000,35.00116200,0
1615884000000,0.00410400,0.00410400,0.00408400,0.00408600,67142.00000000,1615884299999,274.81318500,158,44730.00000000,183.00268700,0
1615884300000,0.00408800,0.00410200,0.00408200,0.00409300,24947.00000000,1615884599999,102.12118800,114,12061.00000000,49.36430700,0
1615884600000,0.00409300,0.00409400,0.00407300,0.00407900,44514.00000000,1615884899999,181.61214500,159,24627.00000000,100.53142300,0
1615884900000,0.00407700,0.00407900,0.00406100,0.00406200,89195.00000000,1615885199999,363.24715200,196,52412.00000000,213.45229900,0
1615885200000,0.00406200,0.00406700,0.00404500,0.00406400,44517.00000000,1615885499999,180.50350600,239,30766.00000000,124.77132800,0
1615885500000,0.00406400,0.00407000,0.00405500,0.00405900,24725.00000000,1615885799999,100.42087200,113,3634.00000000,14.77283600,0
1615885800000,0.00406400,0.00407200,0.00405900,0.00406200,5676.00000000,1615886099999,23.07081500,80,3324.00000000,13.51560600,0
1615886100000,0.00406200,0.00407500,0.00406100,0.00406900,34078.00000000,1615886399999,138.66743500,110,11197.00000000,45.57738200,0
1615886400000,0.00407200,0.00407600,0.00405700,0.00406100,12307.00000000,1615886699999,50.02606700,75,6428.00000000,26.13975100,0
1615886700000,0.00406100,0.00407300,0.00405500,0.00407000,30458.00000000,1615886999999,123.88809200,74,26082.00000000,106.10881000,0
1615887000000,0.00407600,0.00408000,0.00405800,0.00405800,38913.00000000,1615887299999,158.47979900,103,19809.00000000,80.73173000,0
1615887300000,0.00405700,0.00405900,0.00403900,0.00405000,46672.00000000,1615887599999,188.94923000,176,29617.00000000,119.89872200,0
1615887600000,0.00405300,0.00407500,0.00405300,0.00406300,36361.00000000,1615887899999,147.87523200,113,8785.00000000,35.74262200,0
1615887900000,0.00406200,0.00407000,0.00405700,0.00406200,26003.00000000,1615888199999,105.66359800,100,19651.00000000,79.86684400,0
1615888200000,0.00406900,0.00407100,0.00406500,0.00406500,10246.00000000,1615888499999,41.68641700,69,4351.00000000,17.70361100,0
1615888500000,0.00406400,0.00408400,0.00406400,0.00408400,38073.00000000,1615888799999,155.17475500,98,9998.00000000,40.75213100,0
1615888800000,0.00408200,0.00408500,0.00406700,0.00407400,19549.00000000,1615889099999,79.67315800,78,6912.00000000,28.17470800,0
1615889100000,0.00407700,0.00408400,0.00407100,0.00408200,18443.00000000,1615889399999,75.19836400,74,16474.00000000,67.17231300,0
1615889400000,0.00408000,0.00408700,0.00407400,0.00408400,18684.00000000,1615889699999,76.25534400,52,11197.00000000,45.71296900,0
1615889700000,0.00408700,0.00408700,0.00406200,0.00407000,16886.00000000,1615889999999,68.82852900,67,5307.00000000,21.59978400,0
1615890000000,0.00407200,0.00409700,0.00406200,0.00408100,32636.00000000,1615890299999,133.20665800,111,24801.00000000,101.24838500,0
1615890300000,0.00408100,0.00408900,0.00407100,0.00407800,36829.00000000,1615890599999,150.27874100,89,19590.00000000,79.98303800,0
1615890600000,0.00407700,0.00408100,0.00406800,0.00407600,10445.00000000,1615890899999,42.56638500,62,4856.00000000,19.80158400,0
1615890900000,0.00407500,0.00409200,0.00407000,0.00408000,188209.00000000,1615891199999,768.54805600,231,143488.00000000,586.25098100,0
1615891200000,0.00407500,0.00409100,0.00407000,0.00407500,68674.00000000,1615891499999,280.24586600,237,44535.00000000,181.87390700,0
1615891500000,0.00407500,0.00408500,0.00405200,0.00406000,32379.00000000,1615891799999,131.58898500,205,12416.00000000,50.45917400,0
1615891800000,0.00406100,0.00406500,0.00405000,0.00406400,50477.00000000,1615892099999,204.79225900,79,25989.00000000,105.50820700,0
1615892100000,0.00406200,0.00406600,0.00405600,0.00406500,32635.00000000,1615892399999,132.48411000,57,12194.00000000,49.53986500,0
1615892400000,0.00405700,0.00406500,0.00405600,0.00406000,11538.00000000,1615892699999,46.83262400,64,3745.00000000,15.21272800,0
1615892700000,0.00406400,0.00409300,0.00405500,0.00406800,65884.00000000,1615892999999,268.84949000,119,60664.00000000,247.66869900,0
1615893000000,0.00406800,0.00407200,0.00405400,0.00405800,17879.00000000,1615893299999,72.55661500,82,3282.00000000,13.33947200,0
1615893300000,0.00405400,0.00405900,0.00405100,0.00405500,11035.00000000,1615893599999,44.74222300,43,7057.00000000,28.62051600,0
1615893600000,0.00405500,0.00405900,0.00405000,0.00405500,47533.00000000,1615893899999,192.54150600,55,6188.00000000,25.09164900,0
1615893900000,0.00405500,0.00406700,0.00404500,0.00404500,26943.00000000,1615894199999,109.20079100,98,11210.00000000,45.48786900,0
1615894200000,0.00404900,0.00407700,0.00404800,0.00406600,30294.00000000,1615894499999,123.17410800,88,25384.00000000,103.23635000,0
1615894500000,0.00406600,0.00407700,0.00406500,0.00407400,12308.00000000,1615894799999,50.10041400,63,4610.00000000,18.77782000,0
1615894800000,0.00407700,0.00409000,0.00406800,0.00407700,55705.00000000,1615895099999,227.28369800,127,33519.00000000,136.81395100,0
1615895100000,0.00408100,0.00408800,0.00407300,0.00407300,15186.00000000,1615895399999,61.93731100,70,5433.00000000,22.17364600,0
1615895400000,0.00407600,0.00408200,0.00406300,0.00406700,133706.00000000,1615895699999,544.58890700,100,5835.00000000,23.78255400,0
1615895700000,0.00406700,0.00408000,0.00406600,0.00407700,9199.00000000,1615895999999,37.48580500,46,4034.00000000,16.44062900,0
1615896000000,0.00407400,0.00408100,0.00406100,0.00406900,22688.00000000,1615896299999,92.35949700,74,12259.00000000,49.94610900,0
1615896300000,0.00407000,0.00407000,0.00405800,0.00405800,27578.00000000,1615896599999,112.09575400,68,8862.00000000,36.06051100,0
1615896600000,0.00406000,0.00406700,0.00406000,0.00406100,23302.00000000,1615896899999,94.68984800,53,14160.00000000,57.55883300,0
1615896900000,0.00406100,0.00407300,0.00406000,0.00406800,18600.00000000,1615897199999,75.66021200,65,12376.00000000,50.36798100,0
1615897200000,0.00406800,0.00407400,0.00405700,0.00407300,21311.00000000,1615897499999,86.59927300,55,9559.00000000,38.87292500,0
1615897500000,0.00407000,0.00407700,0.00406300,0.00406900,11550.00000000,1615897799999,47.01481700,67,3445.00000000,14.03307700,0
1615897800000,0.00406800,0.00407100,0.00406000,0.00406900,21837.00000000,1615898099999,88.78395600,47,10277.00000000,41.80934400,0
1615898100000,0.00407000,0.00408400,0.00406600,0.00407000,54527.00000000,1615898399999,222.02286200,102,40146.00000000,163.46636300,0
1615898400000,0.00407600,0.00408300,0.00407000,0.00407200,19506.00000000,1615898699999,79.51604400,77,11798.00000000,48.11716600,0
1615898700000,0.00407300,0.00408800,0.00407100,0.00408700,19331.00000000,1615898999999,78.92593900,77,10175.00000000,41.56789400,0
1615899000000,0.00408700,0.00409300,0.00407900,0.00408600,50400.00000000,1615899299999,205.82049200,82,23428.00000000,95.65057600,0
1615899300000,0.00408100,0.00408500,0.00407300,0.00408000,12983.00000000,1615899599999,52.95984000,66,10240.00000000,41.77564000,0
1615899600000,0.00407900,0.00408700,0.00407100,0.00408200,15406.00000000,1615899899999,62.90126100,68,13348.00000000,54.50297400,0
1615899900000,0.00408600,0.00409300,0.00407600,0.00408000,18391.00000000,1615900199999,75.17220800,53,14165.00000000,57.91406500,0
1615900200000,0.00407900,0.00408800,0.00407700,0.00408500,11716.00000000,1615900499999,47.84106400,50,7906.00000000,32.29725900,0
1615900500000,0.00408600,0.00408900,0.00407500,0.00407600,15493.00000000,1615900799999,63.25080900,69,7741.00000000,31.61469200,0
1615900800000,0.00407500,0.00408200,0.00406300,0.00407700,10336.00000000,1615901099999,42.08672200,81,2880.00000000,11.73101700,0
1615901100000,0.00407300,0.00407400,0.00406000,0.00406000,5217.00000000,1615901399999,21.21436300,38,1838.00000000,7.48192600,0
1615901400000,0.00406400,0.00407100,0.00405700,0.00406300,38708.00000000,1615901699999,157.09346200,71,20477.00000000,83.10340200,0
1615901700000,0.00406900,0.00408100,0.00406200,0.00407800,6659.00000000,1615901999999,27.11842200,45,5162.00000000,21.02946600,0
1615902000000,0.00407700,0.00408100,0.00406500,0.00407200,8865.00000000,1615902299999,36.08743800,52,2104.00000000,8.56816200,0
1615902300000,0.00407200,0.00408200,0.00406600,0.00407500,178412.00000000,1615902599999,726.69747400,133,65789.00000000,268.05784700,0
1615902600000,0.00407600,0.00407900,0.00406500,0.00406600,122521.00000000,1615902899999,498.71964200,122,86382.00000000,351.70076000,0
1615902900000,0.00407100,0.00407400,0.00405700,0.00405700,34730.00000000,1615903199999,141.18703200,94,12566.00000000,51.08487100,0
