open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1612137600000,0.00068197,0.00068214,0.00067067,0.00067565,104972.10000000,1612141199999,70.97522114,4159,47459.30000000,32.09247255,0
1612141200000,0.00067564,0.00068056,0.00066530,0.00067163,119679.80000000,1612144799999,80.62299137,3438,64378.90000000,43.42279847,0
1612144800000,0.00067163,0.00067439,0.00066114,0.00066487,86427.50000000,1612148399999,57.61149030,2866,43907.20000000,29.26199339,0
1612148400000,0.00066487,0.00066924,0.00066379,0.00066856,52949.50000000,1612151999999,35.27937971,1784,24947.50000000,16.62513011,0
1612152000000,0.00066813,0.00066922,0.00065964,0.00066243,73003.80000000,1612155599999,48.42992766,2149,36563.90000000,24.25246000,0
1612155600000,0.00066277,0.00066927,0.00066243,0.00066306,47338.40000000,1612159199999,31.51266506,1686,22480.00000000,14.96389056,0
1612159200000,0.00066316,0.00066650,0.00065332,0.00066304,87477.40000000,1612162799999,57.88498053,3000,42199.00000000,27.92917334,0
1612162800000,0.00066341,0.00066946,0.00065932,0.00066053,64654.60000000,1612166399999,42.97132438,2192,34307.00000000,22.80519416,0
1612166400000,0.00066034,0.00066414,0.00064636,0.00064727,107679.40000000,1612169999999,70.83996415,3772,54497.90000000,35.86959226,0
1612170000000,0.00064754,0.00065405,0.00064378,0.00065189,116375.80000000,1612173599999,75.58191692,3295,54866.50000000,35.60507277,0
1612173600000,0.00065165,0.00065851,0.00065050,0.00065366,82291.10000000,1612177199999,53.92309870,2715,40250.30000000,26.37409261,0
1612177200000,0.00065399,0.00065619,0.00064611,0.00064907,95002.90000000,1612180799999,61.92490781,3440,44833.30000000,29.23200143,0
1612180800000,0.00064907,0.00065880,0.00064536,0.00065664,152083.10000000,1612184399999,99.07196044,4160,76025.20000000,49.48395738,0
1612184400000,0.00065664,0.00065971,0.00065091,0.00065250,162127.40000000,1612187999999,106.42514831,4082,73502.30000000,48.21658601,0
1612188000000,0.00065250,0.00065410,0.00064725,0.00065264,137732.70000000,1612191599999,89.61981546,3145,50578.10000000,32.92532591,0
1612191600000,0.00065254,0.00066577,0.00065145,0.00066459,132443.50000000,1612195199999,87.10782138,3467,60886.80000000,40.09894629,0
